munn,mun,v,l,C_PRD_PSD,,Pan-mc,,PAN,,PRI,,PRD,,PVEM,,PT,,MC,,PNA,,PSD,,MRN,,PES,,PHM,,v,l,v,l,v,l,nr,nul,lisnom,REPRESENTANTES_PP_CI
11,Jiutepec,3230,Pt-morena-pes,2183,Prd-pvem-psd,0,Pan-mc,5575,PAN,5092,PRI,18866,PRD,3294,PVEM,4625,PT,1633,MC,1670,PNA,2761,PSD,26644,MRN,3849,PES,1080,PHM,0,0,0,0,0,0,119,2392,150850,7
12,Jojutla,1014,Pt-morena-pes,142,Prd-psd,81,Pan-mc,998,PAN,3269,PRI,1656,PRD,221,PVEM,2524,PT,861,MC,193,PNA,377,PSD,10410,MRN,2778,PES,362,PHM,2247,ind_cabo,449,ind_cnu,0,0,13,597,46785,7
13,Jonacatepec,105,Pt-morena-pes,144,Prd-psd,35,Pan-mc,114,PAN,103,PRI,1418,PRD,141,PVEM,714,PT,904,MC,476,PNA,362,PSD,608,MRN,188,PES,1288,PHM,762,ind_mes,0,0,0,0,0,209,11879,7
14,Mazatepec,91,Pt-morena-pes,3,Prd-psd,1,Pan-mc,10,PAN,2597,PRI,62,PRD,4,PVEM,94,PT,9,MC,95,PNA,13,PSD,1667,MRN,169,PES,358,PHM,0,0,0,0,0,0,0,117,8015,7
15,Miacatlán,250,Pt-morena-pes,141,Prd-psd,0,Pan-mc,38,PAN,1745,PRI,4435,PRD,32,PVEM,511,PT,84,MC,54,PNA,114,PSD,2370,MRN,473,PES,93,PHM,0,0,0,0,0,0,1,376,20101,7
16,Ocuituco,17,Pt-morena-pes,189,Prd-psd,100,Pan-mc,313,PAN,18,PRI,1342,PRD,3397,PVEM,33,PT,579,MC,1093,PNA,82,PSD,176,MRN,121,PES,2322,PHM,0,0,0,0,0,0,0,213,13010,7
17,Puente de Ixtla,844,Pt-morena-pes,370,Prd-psd,12,Pan-mc,194,PAN,3484,PRI,5647,PRD,157,PVEM,1423,PT,71,MC,480,PNA,875,PSD,9210,MRN,1364,PES,250,PHM,1115,ind_jabe,1452,ind_eiqb,311,ind_lch,2,757,48691,7
18,Temixco,1373,Pt-morena-pes,320,Prd-psd,121,Pan-mc,2644,PAN,5350,PRI,6713,PRD,3045,PVEM,1967,PT,1406,MC,648,PNA,1123,PSD,12248,MRN,1324,PES,926,PHM,1463,ind_matm,0,0,0,0,34,1563,86373,7
19,Tepalcingo,55,Pt-morena-pes,53,Prd-psd,50,Pan-mc,331,PAN,1265,PRI,1458,PRD,5077,PVEM,131,PT,543,MC,548,PNA,318,PSD,652,MRN,130,PES,2448,PHM,0,0,0,0,0,0,5,435,20210,7
20,Tepoztlán,318,Pt-morena-pes,85,Prd-psd,76,Pan-mc,312,PAN,393,PRI,1289,PRD,173,PVEM,468,PT,922,MC,456,PNA,143,PSD,2185,MRN,406,PES,24,PHM,0,0,0,0,0,0,20,519,29119,7
21,Tetecala,34,Pt-morena-pes,0,Prd-psd,63,Pan-mc,140,PAN,2287,PRI,15,PRD,2,PVEM,45,PT,2123,MC,6,PNA,3,PSD,228,MRN,24,PES,5,PHM,0,0,0,0,0,0,9,144,6324,7
22,Tetela del Volcán,265,Pt-morena-pes,0,Prd-psd,1,Pan-mc,25,PAN,189,PRI,1897,PRD,38,PVEM,1273,PT,27,MC,2436,PNA,15,PSD,1301,MRN,620,PES,10,PHM,0,0,0,0,0,0,1,226,14454,7
23,Tlalnepantla,28,Pt-morena-pes,26,Prd-pvem-psd,0,Pan-mc,19,PAN,41,PRI,177,PRD,17,PVEM,36,PT,7,MC,1818,PNA,17,PSD,334,MRN,40,PES,1096,PHM,0,0,0,0,0,0,0,145,5027,7
24,Tlaltizapán de Zapata,228,Pt-morena-pes,285,Prd-psd,83,Pan-mc,576,PAN,3660,PRI,3584,PRD,288,PVEM,273,PT,1942,MC,78,PNA,783,PSD,2290,MRN,396,PES,3381,PHM,134,ind_zrmf,0,0,0,0,19,565,37694,7
25,Tlaquiltenango,360,Pt-morena-pes,88,Prd-psd,44,Pan-mc,204,PAN,2301,PRI,904,PRD,1697,PVEM,1283,PT,912,MC,2658,PNA,296,PSD,2166,MRN,410,PES,972,PHM,260,ind_mrl,0,0,0,0,11,385,24975,7
26,Tlayacapan,208,Pt-morena-pes,0,Prd-psd,1,Pan-mc,37,PAN,28,PRI,3036,PRD,80,PVEM,288,PT,11,MC,2018,PNA,5,PSD,2563,MRN,162,PES,48,PHM,0,0,0,0,0,0,20,239,14099,7
27,Totolapan,59,Pt-morena-pes,28,Prd-psd,5,Pan-mc,142,PAN,405,PRI,472,PRD,735,PVEM,63,PT,12,MC,2170,PNA,19,PSD,361,MRN,43,PES,538,PHM,900,ind_gms,0,0,0,0,0,152,8003,7
28,Xochitepec,459,Pt-morena-pes,61,Prd-psd,19,Pan-mc,668,PAN,8344,PRI,767,PRD,1453,PVEM,438,PT,174,MC,1542,PNA,197,PSD,4692,MRN,583,PES,257,PHM,778,ind_vmgm,504,ind_scc,0,0,26,655,49145,7
29,Yautepec,633,Pt-morena-pes,1146,Prd-psd,288,Pan-mc,4400,PAN,5344,PRI,13393,PRD,696,PVEM,856,PT,651,MC,297,PNA,2022,PSD,5963,MRN,619,PES,278,PHM,0,0,0,0,0,0,41,1325,73331,7
30,Yecapixtla,236,Pt-morena-pes,460,Prd-psd,683,Pan-mc,8722,PAN,228,PRI,3789,PRD,590,PVEM,507,PT,655,MC,85,PNA,1309,PSD,1696,MRN,151,PES,75,PHM,0,0,0,0,0,0,6,629,35463,7
31,Zacatepec,339,Pt-morena-pes,104,Prd-psd,0,Pan-mc,1366,PAN,1359,PRI,787,PRD,552,PVEM,449,PT,512,MC,4823,PNA,1303,PSD,3468,MRN,572,PES,316,PHM,735,ind_plcr,1068,ind_zdgf,0,0,1,427,29253,7
32,Zacualpan de Amilpas,4,Pt-morena-pes,0,Prd-psd,65,Pan-mc,89,PAN,116,PRI,13,PRD,306,PVEM,10,PT,2212,MC,31,PNA,1,PSD,68,MRN,28,PES,1211,PHM,1370,ind_mcs,0,0,0,0,10,132,7182,7
33,Temoac,53,Pt-morena-pes,0,Prd-psd,16,Pan-mc,386,PAN,1474,PRI,27,PRD,1553,PVEM,119,PT,130,MC,1432,PNA,11,PSD,556,MRN,61,PES,10,PHM,0,0,0,0,0,0,3,240,10996,7
