DISTRITOLOCAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,PAS,PCD,PSN,PARM,CDPPN,DS,PRD_PT_PAS_CD,PRD_PT_PAS,PRD_PAS_CD,LISTA NOMINAL,TOTAL,% PARTICIPACIÓN
19,JARAL DEL PROGRESO,7293,4573,0,0,83,0,60,17,37,0,18,1537,0,0,21454,13618,63.48%
19,VALLE DE SANTIAGO,20443,14737,0,0,375,0,232,54,186,0,157,9373,0,0,84165,45557,54.13%
20,MOROLEON,12044,6007,0,0,544,0,431,27,73,0,34,1431,0,0,34194,20591,60.22%
20,SANTIAGO MARAVATIO,1104,1665,0,0,7,0,10,3,4,0,2,63,0,0,5901,2858,48.43%
20,URIANGATO,9797,7249,0,0,106,0,46,17,71,0,49,904,0,0,32425,18239,56.25%
20,YURIRIA,15041,8415,0,0,166,0,88,35,90,0,39,2169,0,0,47383,26043,54.96%
21,CORTAZAR,20842,10083,0,0,302,0,78,69,284,0,93,1451,0,0,52449,33202,63.30%
21,SALVATIERRA,17174,12353,0,0,247,0,347,73,285,0,657,6316,0,0,67120,37452,55.80%
22,ACAMBARO,16643,13442,0,0,511,0,204,69,191,0,145,11081,0,0,77701,42286,54.42%
22,CORONEO,1753,1124,0,0,41,0,92,15,40,0,9,948,0,0,7207,4022,55.81%
22,JERECUARO,6845,7454,0,0,108,0,78,22,70,0,11,2503,0,0,32921,17091,51.92%
22,TARANDACUAO,1551,2143,0,0,9,0,10,4,8,0,6,875,0,0,8765,4606,52.55%
